1000 1053 
 0 63.3 22.5
 1 33.0 28.4
 2 60.9 18.5
 3 49.0 43.6
 4 77.6 10.1
 5 73.3 94.6
 6 32.2 67.1
 7 9.8 51.6
 8 55.5 26.4
 9 73.6 46.1
 10 52.9 18.5
 11 35.4 27.9
 12 30.4 50.8
 13 43.7 66.8
 14 0.9 94.9
 15 53.5 15.3
 16 79.5 46.8
 17 37.7 90.4
 18 19.6 77.1
 19 76.5 69.5
 20 63.3 16.3
 21 0.8 35.7
 22 99.4 90.3
 23 27.8 47.1
 24 79.8 63.0
 25 45.4 90.9
 26 93.7 13.9
 27 72.0 67.9
 28 89.4 54.2
 29 69.4 9.6
 30 88.0 20.7
 31 99.6 94.6
 32 81.4 85.4
 33 25.5 85.3
 34 84.6 2.3
 35 30.8 4.1
 36 20.7 41.5
 37 26.7 69.5
 38 40.6 46.4
 39 97.1 15.8
 40 67.0 35.6
 41 55.6 7.4
 42 24.0 20.9
 43 20.7 73.9
 44 45.8 64.5
 45 47.4 55.8
 46 56.8 24.2
 47 50.3 2.5
 48 57.9 10.5
 49 37.4 56.9
 50 24.6 26.8
 51 5.2 34.1
 52 6.3 6.8
 53 48.6 39.5
 54 17.4 9.4
 55 83.2 26.5
 56 26.3 92.9
 57 31.7 79.1
 58 13.1 21.6
 59 24.1 15.2
 60 46.2 71.4
 61 50.0 11.1
 62 74.7 4.5
 63 97.1 24.7
 64 65.8 80.8
 65 89.5 97.0
 66 15.4 26.3
 67 4.9 65.8
 68 80.0 72.8
 69 89.9 35.5
 70 94.0 92.6
 71 83.1 56.6
 72 5.1 57.2
 73 7.1 79.9
 74 84.1 30.1
 75 97.4 14.8
 76 83.4 6.1
 77 96.8 32.1
 78 98.5 4.1
 79 59.6 87.3
 80 24.3 80.6
 81 6.1 32.1
 82 35.8 83.9
 83 89.3 32.5
 84 41.2 9.0
 85 32.0 66.0
 86 22.5 86.9
 87 23.5 87.8
 88 76.3 16.3
 89 69.8 77.2
 90 20.7 88.6
 91 72.3 58.3
 92 99.7 19.1
 93 30.2 2.8
 94 53.6 48.7
 95 6.5 91.0
 96 50.4 55.8
 97 56.7 99.4
 98 56.2 73.8
 99 0.1 72.9
 100 46.7 13.4
 101 87.7 7.8
 102 82.8 47.9
 103 18.8 65.4
 104 50.8 97.2
 105 67.8 84.2
 106 35.4 48.0
 107 34.0 46.5
 108 55.3 38.1
 109 91.9 55.9
 110 63.3 88.5
 111 82.6 14.2
 112 96.8 49.7
 113 7.5 21.5
 114 25.5 97.9
 115 79.8 0.5
 116 29.8 63.9
 117 81.7 49.1
 118 44.4 30.5
 119 68.3 70.0
 120 72.7 26.6
 121 56.8 92.7
 122 41.4 96.0
 123 16.2 23.6
 124 19.7 5.5
 125 92.5 36.7
 126 16.4 54.1
 127 18.3 12.9
 128 79.0 96.3
 129 59.9 82.7
 130 7.6 25.0
 131 71.9 15.1
 132 95.3 2.1
 133 57.8 75.8
 134 15.0 64.0
 135 57.7 12.1
 136 65.6 56.4
 137 30.4 88.2
 138 87.8 47.1
 139 26.6 5.6
 140 56.2 0.5
 141 40.0 90.7
 142 26.4 1.4
 143 52.3 0.4
 144 87.0 64.3
 145 52.3 23.4
 146 78.5 37.2
 147 2.3 3.7
 148 52.8 57.1
